"enumrtr","lga","ward","village","subvillage","under_18","HH_size","dogs","puppies","Land.Use","longitude","latitude","precision"
1,"Tarime DC","Nyakonga",1,1,86,5,2,0,"Built",34.3924396441931,-1.34212784495975,6.28
2,"Musoma MC","Nyamatare",2,2,55,69,3,0,"Built",33.7974180563236,-1.51135088972911,4.32
3,"Musoma MC","Nyasho",3,3,30,10,0,0,"Built",33.8036506319584,-1.51298204615638,3.9
4,"Musoma MC","Mshikamano",4,4,28,45,0,0,"Built",33.8071502093047,-1.52591506519199,8.9
4,"Musoma MC","Mshikamano",4,5,25,45,0,0,"Built",33.8045052965918,-1.52549406543141,5.6
4,"Musoma MC","Mshikamano",4,6,22,45,0,0,"Built",33.8055694235954,-1.52703888700122,5.7
5,"Serengeti DC","Geitasamo",5,7,21,8,0,0,"Built",34.6434785874687,-1.79816218902391,4.98
6,"Tarime TC","Bomani",6,8,21,5,1,0,"Built",34.3616818010638,-1.35236306191121,4.771
7,"Rorya DC","Kisumwa",7,9,21,4,1,0,"Built",34.1290287884067,-1.44377782997107,8.785
8,"Tarime DC","Sirari",8,10,20,50,2,0,"Built",34.4732863530816,-1.25290347052939,242.223
4,"Musoma MC","Mshikamano",4,11,20,35,0,0,"Built",33.805537578044,-1.5254665333093,4.956
9,"Musoma MC","Nyasho",3,3,20,6,0,0,"Built",33.8042469518369,-1.51348163168762,3.9
4,"Musoma MC","Mshikamano",4,12,19,30,0,0,"Built",33.806468341588,-1.52668185872909,5.325
4,"Musoma MC","Mshikamano",4,13,19,30,0,0,"Built",33.8110835085623,-1.52180963319609,6.675
10,"Bunda TC","Kabasa",9,14,19,14,4,1,"Built",33.7980318114827,-1.97639515063467,4.833
4,"Musoma MC","Mshikamano",4,5,18,31,0,0,"Built",33.8053208332908,-1.5261978500592,6.275
4,"Musoma MC","Mshikamano",4,15,18,30,0,0,"Built",33.8076133174203,-1.52207312453129,8.352
11,"Butiama DC","Kyanyari",10,16,18,20,0,0,"Built",33.7885763848231,-1.82726988093294,4.45
5,"Serengeti DC","Geitasamo",5,17,17,25,3,0,"Built",34.6430914736394,-1.79898745856143,4.9
12,"Bunda DC","Neruma",11,18,17,20,1,1,"Built",33.5121177305529,-2.16160079270171,4.571
